Kcp_vs_Ke_abscissa,Kcp_vs_Ke_spline,Kcp_vs_Ke_regression,Kcp_vs_Kpc_abscissa,Kcp_vs_Kpc_spline,Kcp_vs_Kpc_regression,Kcp_vs_Vc_abscissa,Kcp_vs_Vc_spline,Kcp_vs_Vc_regression,Ke_vs_Kcp_abscissa,Ke_vs_Kcp_spline,Ke_vs_Kcp_regression,Ke_vs_Kpc_abscissa,Ke_vs_Kpc_spline,Ke_vs_Kpc_regression,Ke_vs_Vc_abscissa,Ke_vs_Vc_spline,Ke_vs_Vc_regression,Kpc_vs_Kcp_abscissa,Kpc_vs_Kcp_spline,Kpc_vs_Kcp_regression,Kpc_vs_Ke_abscissa,Kpc_vs_Ke_spline,Kpc_vs_Ke_regression,Kpc_vs_Vc_abscissa,Kpc_vs_Vc_spline,Kpc_vs_Vc_regression,Vc_vs_Kcp_abscissa,Vc_vs_Kcp_spline,Vc_vs_Kcp_regression,Vc_vs_Ke_abscissa,Vc_vs_Ke_spline,Vc_vs_Ke_regression,Vc_vs_Kpc_abscissa,Vc_vs_Kpc_spline,Vc_vs_Kpc_regression
0.0552295,-0.0797676,0.0649873,0.121466,0.0220615,0.108039,-0.516663,0.475842,-0.0908282,-0.0644249,0.156269,0.0277876,0.121466,0.0844916,0.0314235,-0.516663,-0.00115936,-0.0252999,-0.0644249,0.0944572,-0.00226869,0.0552295,-0.0872445,0.0836756,-0.516663,0.39281,-0.029851,-0.0644249,0.338896,0.11833,0.0552295,0.495403,0.144608,0.121466,0.365356,0.134374
0.0693535,-0.0551984,0.0674396,0.175217,0.0514836,0.157616,-0.473104,0.461296,-0.0806317,0.0208277,0.16723,0.0286141,0.175217,0.0902917,0.0339494,-0.473104,0.00390808,-0.0216396,0.0208277,0.140289,0.0469748,0.0693535,-0.0472633,0.0911191,-0.473104,0.409874,-0.02313,0.0208277,0.349883,0.125964,0.0693535,0.503955,0.152738,0.175217,0.363028,0.139439
0.0834774,-0.0306291,0.0698919,0.228968,0.0852313,0.207193,-0.429545,0.446749,-0.0704351,0.10608,0.177178,0.0294407,0.228968,0.0969555,0.0364752,-0.429545,0.00897551,-0.0179794,0.10608,0.184765,0.0962182,0.0834774,-0.0072821,0.0985625,-0.429545,0.426937,-0.0164091,0.10608,0.360696,0.133597,0.0834774,0.512508,0.160868,0.228968,0.364171,0.144505
0.0976013,-0.00605987,0.0723442,0.282719,0.119555,0.25677,-0.385987,0.432203,-0.0602386,0.191333,0.187125,0.0302672,0.282719,0.103712,0.0390011,-0.385987,0.0140429,-0.0143192,0.191333,0.229241,0.145462,0.0976013,0.0326991,0.106006,-0.385987,0.444001,-0.00968812,0.191333,0.371508,0.14123,0.0976013,0.52106,0.168997,0.282719,0.36578,0.14957
0.111725,0.0185094,0.0747965,0.33647,0.158325,0.306348,-0.342428,0.417657,-0.0500421,0.276586,0.196795,0.0310938,0.33647,0.110703,0.0415269,-0.342428,0.0191104,-0.0106589,0.276586,0.273393,0.194705,0.111725,0.0726803,0.113449,-0.342428,0.461064,-0.00296716,0.276586,0.382227,0.148864,0.111725,0.529612,0.177127,0.33647,0.369724,0.154636
0.125849,0.0430786,0.0772488,0.390221,0.199303,0.355925,-0.29887,0.40311,-0.0398455,0.361838,0.202787,0.0319203,0.390221,0.117717,0.0440528,-0.29887,0.0241778,-0.00699869,0.361838,0.313477,0.243949,0.125849,0.112662,0.120893,-0.29887,0.478127,0.00375379,0.361838,0.391523,0.156497,0.125849,0.538164,0.185257,0.390221,0.374578,0.159702
0.139973,0.0676479,0.0797011,0.443972,0.240281,0.405502,-0.255311,0.388564,-0.029649,0.447091,0.206269,0.0327469,0.443972,0.124731,0.0465786,-0.255311,0.0292453,-0.00333845,0.447091,0.351229,0.293192,0.139973,0.152643,0.128336,-0.255311,0.495191,0.0104747,0.447091,0.399437,0.16413,0.139973,0.546716,0.193386,0.443972,0.379431,0.164767
0.154097,0.0922172,0.0821534,0.497723,0.281259,0.455079,-0.211752,0.374018,-0.0194525,0.532344,0.20975,0.0335735,0.497723,0.131745,0.0491045,-0.211752,0.0343127,0.000321785,0.532344,0.388981,0.342436,0.154097,0.192624,0.13578,-0.211752,0.512254,0.0171957,0.532344,0.407352,0.171764,0.154097,0.555268,0.201516,0.497723,0.384285,0.169833
0.168221,0.116786,0.0846057,0.551475,0.322237,0.504656,-0.168194,0.355701,-0.00925594,0.617596,0.213231,0.0344,0.551475,0.138759,0.0516303,-0.168194,0.0400457,0.00398202,0.617596,0.426732,0.391679,0.168221,0.232605,0.143223,-0.168194,0.517843,0.0239167,0.617596,0.415267,0.179397,0.168221,0.56382,0.209646,0.551475,0.389139,0.174898
0.182345,0.141356,0.087058,0.605226,0.363215,0.554233,-0.124635,0.335432,0.000940599,0.702849,0.216712,0.0352266,0.605226,0.145773,0.0541561,-0.124635,0.0461234,0.00764226,0.702849,0.464484,0.440922,0.182345,0.272586,0.150667,-0.124635,0.517489,0.0306376,0.702849,0.423181,0.18703,0.182345,0.572372,0.217775,0.605226,0.393993,0.179964
