pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.0977606,0.776471,0.77886,0.776471,0.495955,0.776471,All
-0.0975456,0.779412,0.781595,0.779412,0.500922,0.779412,All
-0.0970011,0.782353,0.782272,0.782353,0.509744,0.782353,All
-0.0967363,0.785294,0.794422,0.785294,0.523327,0.785294,All
-0.0966302,0.788235,0.795584,0.788235,0.523466,0.788235,All
-0.0954421,0.791176,0.802501,0.791176,0.524801,0.791176,All
-0.0949067,0.794118,0.836586,0.794118,0.540032,0.794118,All
-0.0947468,0.797059,0.840028,0.797059,0.540848,0.797059,All
-0.0934465,0.8,0.843,0.8,0.559895,0.8,All
-0.0930273,0.802941,0.860449,0.802941,0.560126,0.802941,All
-0.0905681,0.805882,0.864166,0.805882,0.576512,0.805882,All
-0.0904755,0.808824,0.868305,0.808824,0.591649,0.808824,All
-0.0900257,0.811765,0.870758,0.811765,0.59609,0.811765,All
-0.0883049,0.814706,0.914644,0.814706,0.610411,0.814706,All
-0.0876257,0.817647,0.922195,0.817647,0.643089,0.817647,All
-0.0868729,0.820588,0.958689,0.820588,0.648468,0.820588,All
-0.08642,0.823529,0.978484,0.823529,0.656657,0.823529,All
-0.0847642,0.826471,0.99696,0.826471,0.66802,0.826471,All
-0.0844446,0.829412,1.00027,0.829412,0.668163,0.829412,All
-0.0820976,0.832353,1.0246,0.832353,0.67136,0.832353,All
-0.0810156,0.835294,1.02808,0.835294,0.683879,0.835294,All
-0.0789254,0.838235,1.03705,0.838235,0.68388,0.838235,All
-0.0783151,0.841176,1.04432,0.841176,0.694617,0.841176,All
-0.0773386,0.844118,1.0546,0.844118,0.72322,0.844118,All
-0.0743669,0.847059,1.05546,0.847059,0.736827,0.847059,All
-0.0671907,0.85,1.06061,0.85,0.738516,0.85,All
-0.0648269,0.852941,1.09933,0.852941,0.739934,0.852941,All
-0.0606713,0.855882,1.10397,0.855882,0.758231,0.855882,All
-0.060559,0.858824,1.10804,0.858824,0.773116,0.858824,All
-0.0600506,0.861765,1.12455,0.861765,0.782946,0.861765,All
-0.0591403,0.864706,1.12753,0.864706,0.795114,0.864706,All
-0.050146,0.867647,1.1354,0.867647,0.79623,0.867647,All
-0.0489828,0.870588,1.14144,0.870588,0.800582,0.870588,All
-0.0435193,0.873529,1.15278,0.873529,0.848284,0.873529,All
-0.0404543,0.876471,1.17342,0.876471,0.883741,0.876471,All
-0.0401364,0.879412,1.18908,0.879412,0.883898,0.879412,All
-0.0381242,0.882353,1.21053,0.882353,0.902617,0.882353,All
-0.037301,0.885294,1.2205,0.885294,0.929585,0.885294,All
-0.033842,0.888235,1.22475,0.888235,0.954038,0.888235,All
-0.0207807,0.891176,1.26458,0.891176,0.961114,0.891176,All
-0.0169138,0.894118,1.27267,0.894118,0.978635,0.894118,All
-0.012192,0.897059,1.29125,0.897059,1.00789,0.897059,All
0.00530074,0.9,1.32048,0.9,1.01235,0.9,All
0.0137203,0.902941,1.33068,0.902941,1.06319,0.902941,All
0.0312453,0.905882,1.33607,0.905882,1.09047,0.905882,All
0.0343827,0.908824,1.37984,0.908824,1.10401,0.908824,All
0.0423114,0.911765,1.40515,0.911765,1.15196,0.911765,All
0.0567232,0.914706,1.41063,0.914706,1.15321,0.914706,All
0.0964401,0.917647,1.41816,0.917647,1.17453,0.917647,All
0.101206,0.920588,1.43358,0.920588,1.1817,0.920588,All
0.110292,0.923529,1.43456,0.923529,1.20977,0.923529,All
