pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.174422,0.638235,0.24199,0.638235,0.227958,0.638235,All
-0.174014,0.641176,0.263606,0.641176,0.242328,0.641176,All
-0.174007,0.644118,0.263973,0.644118,0.24564,0.644118,All
-0.173886,0.647059,0.270773,0.647059,0.24663,0.647059,All
-0.173452,0.65,0.280527,0.65,0.249552,0.65,All
-0.17256,0.652941,0.286594,0.652941,0.255056,0.652941,All
-0.172087,0.655882,0.31218,0.655882,0.257809,0.655882,All
-0.171912,0.658824,0.318973,0.658824,0.258514,0.658824,All
-0.171375,0.661765,0.326441,0.661765,0.260148,0.661765,All
-0.169806,0.664706,0.331411,0.664706,0.261444,0.664706,All
-0.166966,0.667647,0.365743,0.667647,0.275473,0.667647,All
-0.166933,0.670588,0.366477,0.670588,0.283487,0.670588,All
-0.166505,0.673529,0.366764,0.673529,0.285619,0.673529,All
-0.166253,0.676471,0.367329,0.676471,0.288705,0.676471,All
-0.166041,0.679412,0.392595,0.679412,0.288939,0.679412,All
-0.165706,0.682353,0.402526,0.682353,0.29063,0.682353,All
-0.164744,0.685294,0.40602,0.685294,0.29933,0.685294,All
-0.164545,0.688235,0.430131,0.688235,0.305473,0.688235,All
-0.164516,0.691176,0.444864,0.691176,0.306531,0.691176,All
-0.163654,0.694118,0.46006,0.694118,0.308915,0.694118,All
-0.163435,0.697059,0.47029,0.697059,0.310562,0.697059,All
-0.162871,0.7,0.474176,0.7,0.31113,0.7,All
-0.161408,0.702941,0.474909,0.702941,0.312412,0.702941,All
-0.160695,0.705882,0.48017,0.705882,0.314556,0.705882,All
-0.160217,0.708824,0.483476,0.708824,0.316393,0.708824,All
-0.159835,0.711765,0.504559,0.711765,0.324311,0.711765,All
-0.157749,0.714706,0.512903,0.714706,0.327431,0.714706,All
-0.156975,0.717647,0.514428,0.717647,0.342034,0.717647,All
-0.156943,0.720588,0.547489,0.720588,0.342807,0.720588,All
-0.156116,0.723529,0.570486,0.723529,0.349994,0.723529,All
-0.155208,0.726471,0.579522,0.726471,0.356425,0.726471,All
-0.154813,0.729412,0.617988,0.729412,0.365027,0.729412,All
-0.154745,0.732353,0.620204,0.732353,0.372367,0.732353,All
-0.154009,0.735294,0.63637,0.735294,0.372426,0.735294,All
-0.153644,0.738235,0.656819,0.738235,0.385686,0.738235,All
-0.153613,0.741176,0.666365,0.741176,0.389516,0.741176,All
-0.153223,0.744118,0.668115,0.744118,0.396611,0.744118,All
-0.153005,0.747059,0.678401,0.747059,0.401797,0.747059,All
-0.152432,0.75,0.700597,0.75,0.411979,0.75,All
-0.1523,0.752941,0.714498,0.752941,0.415204,0.752941,All
-0.151559,0.755882,0.719192,0.755882,0.419468,0.755882,All
-0.151252,0.758824,0.749182,0.758824,0.426917,0.758824,All
-0.151169,0.761765,0.755696,0.761765,0.426935,0.761765,All
-0.149313,0.764706,0.794576,0.764706,0.433122,0.764706,All
-0.149005,0.767647,0.805372,0.767647,0.449814,0.767647,All
-0.148099,0.770588,0.811933,0.770588,0.451237,0.770588,All
-0.145544,0.773529,0.821287,0.773529,0.451238,0.773529,All
-0.143854,0.776471,0.827775,0.776471,0.457983,0.776471,All
-0.143853,0.779412,0.830597,0.779412,0.460057,0.779412,All
-0.141752,0.782353,0.857139,0.782353,0.46241,0.782353,All
-0.141659,0.785294,0.858676,0.785294,0.467266,0.785294,All
-0.141348,0.788235,0.859375,0.788235,0.470252,0.788235,All
-0.14047,0.791176,0.873959,0.791176,0.474771,0.791176,All
-0.140407,0.794118,0.884534,0.794118,0.483707,0.794118,All
-0.140267,0.797059,0.890891,0.797059,0.488725,0.797059,All
-0.140019,0.8,0.892141,0.8,0.489424,0.8,All
-0.139754,0.802941,0.905006,0.802941,0.489609,0.802941,All
-0.139718,0.805882,0.915939,0.805882,0.490302,0.805882,All
-0.136813,0.808824,0.921023,0.808824,0.494206,0.808824,All
-0.135755,0.811765,0.92368,0.811765,0.505651,0.811765,All
-0.135376,0.814706,0.929282,0.814706,0.50855,0.814706,All
-0.13511,0.817647,0.9651,0.817647,0.509614,0.817647,All
-0.134781,0.820588,0.986439,0.820588,0.512243,0.820588,All
-0.131958,0.823529,1.00285,0.823529,0.516562,0.823529,All
-0.129417,0.826471,1.03174,0.826471,0.523061,0.826471,All
-0.129008,0.829412,1.06014,0.829412,0.538428,0.829412,All
-0.12881,0.832353,1.06246,0.832353,0.54305,0.832353,All
-0.126929,0.835294,1.08136,0.835294,0.548458,0.835294,All
-0.123795,0.838235,1.08215,0.838235,0.583911,0.838235,All
-0.123562,0.841176,1.10212,0.841176,0.595365,0.841176,All
-0.123253,0.844118,1.11212,0.844118,0.596008,0.844118,All
-0.122531,0.847059,1.11639,0.847059,0.603843,0.847059,All
-0.122393,0.85,1.11879,0.85,0.607292,0.85,All
-0.117108,0.852941,1.13198,0.852941,0.610296,0.852941,All
-0.115691,0.855882,1.1337,0.855882,0.612684,0.855882,All
-0.114539,0.858824,1.13716,0.858824,0.613069,0.858824,All
-0.112768,0.861765,1.14588,0.861765,0.616672,0.861765,All
-0.111987,0.864706,1.14636,0.864706,0.61838,0.864706,All
-0.110272,0.867647,1.16266,0.867647,0.624286,0.867647,All
-0.10878,0.870588,1.16308,0.870588,0.627488,0.870588,All
-0.107553,0.873529,1.17005,0.873529,0.631268,0.873529,All
-0.10637,0.876471,1.18024,0.876471,0.633279,0.876471,All
-0.0982564,0.879412,1.19775,0.879412,0.634993,0.879412,All
-0.0956311,0.882353,1.20531,0.882353,0.648279,0.882353,All
-0.0940119,0.885294,1.20574,0.885294,0.661527,0.885294,All
-0.0925099,0.888235,1.23013,0.888235,0.685838,0.888235,All
-0.0924169,0.891176,1.2406,0.891176,0.690242,0.891176,All
-0.0919483,0.894118,1.25788,0.894118,0.707346,0.894118,All
-0.0905894,0.897059,1.26162,0.897059,0.707495,0.897059,All
-0.0782376,0.9,1.29325,0.9,0.714192,0.9,All
-0.0724664,0.902941,1.30814,0.902941,0.733808,0.902941,All
