CL_abscissa,CL_pdf,CL_cdf,Vc_abscissa,Vc_pdf,Vc_cdf,Q1_abscissa,Q1_pdf,Q1_cdf,Vp1_abscissa,Vp1_pdf,Vp1_cdf,split
0.235451,3.87846,0.309766,4.73155,0.201716,0.186944,0.0241803,12.9715,0.714767,21.7131,0.0133612,0.65421,All
0.244339,3.90172,0.344365,4.88351,0.214605,0.218604,0.0255026,11.9462,0.731229,22.9057,0.0124449,0.669589,All
0.253226,3.89023,0.379013,5.03546,0.225159,0.252047,0.0268249,11.0231,0.746405,24.0983,0.0116143,0.683927,All
0.262113,3.84781,0.413418,5.18742,0.233237,0.286906,0.0281472,10.1901,0.76042,25.2909,0.0108593,0.697321,All
0.271,3.77847,0.447324,5.33937,0.238797,0.322802,0.0294694,9.43672,0.773388,26.4835,0.0101712,0.709855,All
0.279887,3.68631,0.48051,5.49133,0.241877,0.359353,0.0307917,8.75383,0.785407,27.6761,0.00954243,0.721605,All
0.288774,3.57529,0.512789,5.64328,0.242586,0.396191,0.032114,8.13352,0.796565,28.8687,0.00896658,0.732637,All
0.297661,3.44919,0.544013,5.79524,0.241092,0.432966,0.0334362,7.56887,0.806941,30.0613,0.008438,0.74301,All
0.306548,3.31149,0.574061,5.94719,0.237601,0.46936,0.0347585,7.05386,0.816603,31.2539,0.00795178,0.75278,All
0.315435,3.16535,0.602846,6.09915,0.232348,0.505086,0.0360808,6.58324,0.825614,32.4465,0.0075036,0.761992,All
0.324322,3.0136,0.630306,6.2511,0.225583,0.539896,0.037403,6.15238,0.83403,33.6391,0.0070897,0.770691,All
0.333209,2.8587,0.656401,6.40306,0.217562,0.573579,0.0387253,5.75722,0.8419,34.8316,0.00670675,0.778915,All
0.342096,2.70278,0.681114,6.55501,0.208534,0.605964,0.0400476,5.39418,0.84927,36.0242,0.00635183,0.786699,All
0.350983,2.54763,0.704443,6.70697,0.198738,0.636916,0.0413698,5.06011,0.856178,37.2168,0.00602233,0.794075,All
0.35987,2.39475,0.726402,6.85892,0.188396,0.666335,0.0426921,4.7522,0.862663,38.4094,0.00571595,0.801072,All
0.368757,2.24536,0.747018,7.01088,0.177708,0.694154,0.0440144,4.46799,0.868756,39.602,0.00543063,0.807717,All
0.377644,2.10042,0.766325,7.16283,0.166855,0.720334,0.0453367,4.20526,0.874488,40.7946,0.00516454,0.814033,All
0.386531,1.96068,0.784366,7.31479,0.155994,0.744863,0.0466589,3.96204,0.879886,41.9872,0.00491604,0.820042,All
0.395418,1.82669,0.801191,7.46674,0.145256,0.767749,0.0479812,3.73659,0.884974,43.1798,0.00468366,0.825765,All
0.404305,1.69883,0.816852,7.6187,0.134752,0.789019,0.0493035,3.52732,0.889774,44.3724,0.00446607,0.83122,All
0.413192,1.57736,0.831405,7.77066,0.124573,0.808718,0.0506257,3.33284,0.894308,45.565,0.00426208,0.836423,All
