time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
134.886,-0.549463,134.886,-0.0183094,134.886,0.197259,59.6462,-0.0909342,218.237,-0.287693,59.6462,0.224238,All
138.176,-0.5737,138.176,-0.0468642,138.176,0.204192,61.101,-0.100652,223.56,-0.290244,61.101,0.22078,All
141.466,-0.597936,141.466,-0.0754189,141.466,0.211124,62.5557,-0.109592,228.883,-0.292794,62.5557,0.217768,All
144.756,-0.622173,144.756,-0.103974,144.756,0.218056,64.0105,-0.118531,234.206,-0.295345,64.0105,0.214756,All
148.045,-0.646409,148.045,-0.132528,148.045,0.224989,65.4653,-0.12747,239.529,-0.297896,65.4653,0.211744,All
151.335,-0.670646,151.335,-0.161083,151.335,0.231921,66.92,-0.13641,244.852,-0.32556,66.92,0.208732,All
154.625,-0.694883,154.625,-0.189638,154.625,0.238854,68.3748,-0.145349,250.175,-0.381882,68.3748,0.20572,All
157.915,-0.719119,157.915,-0.218193,157.915,0.245786,69.8296,-0.154288,255.498,-0.438203,69.8296,0.202708,All
161.205,-0.743356,161.205,-0.246748,161.205,0.252719,71.2843,-0.163228,260.82,-0.494524,71.2843,0.199696,All
164.495,-0.767592,164.495,-0.275302,164.495,0.259651,72.7391,-0.172167,266.143,-0.550845,72.7391,0.196684,All
