Kcp_vs_Ke_abscissa,Kcp_vs_Ke_spline,Kcp_vs_Ke_regression,Kcp_vs_Kpc_abscissa,Kcp_vs_Kpc_spline,Kcp_vs_Kpc_regression,Kcp_vs_Vc_abscissa,Kcp_vs_Vc_spline,Kcp_vs_Vc_regression,Ke_vs_Kcp_abscissa,Ke_vs_Kcp_spline,Ke_vs_Kcp_regression,Ke_vs_Kpc_abscissa,Ke_vs_Kpc_spline,Ke_vs_Kpc_regression,Ke_vs_Vc_abscissa,Ke_vs_Vc_spline,Ke_vs_Vc_regression,Kpc_vs_Kcp_abscissa,Kpc_vs_Kcp_spline,Kpc_vs_Kcp_regression,Kpc_vs_Ke_abscissa,Kpc_vs_Ke_spline,Kpc_vs_Ke_regression,Kpc_vs_Vc_abscissa,Kpc_vs_Vc_spline,Kpc_vs_Vc_regression,Vc_vs_Kcp_abscissa,Vc_vs_Kcp_spline,Vc_vs_Kcp_regression,Vc_vs_Ke_abscissa,Vc_vs_Ke_spline,Vc_vs_Ke_regression,Vc_vs_Kpc_abscissa,Vc_vs_Kpc_spline,Vc_vs_Kpc_regression
0.0387277,-0.0501679,-0.0076465,0.414345,0.63602,0.638921,-0.111714,-0.520223,-0.176227,-0.945061,0.125017,0.0933596,0.414345,0.0596881,0.0293949,-0.111714,0.0749335,0.0288803,-0.945061,0.0645191,0.0421737,0.0387277,0.126462,0.112619,-0.111714,0.160515,0.0968793,-0.945061,-0.0599912,-0.043517,0.0387277,-0.0697306,0.00651963,0.414345,-0.12442,0.0586801
0.0537441,-0.0779422,-0.0300084,0.431482,0.690139,0.676485,-0.091305,-0.463277,-0.150593,-0.866428,0.119006,0.0896452,0.431482,0.0607228,0.0282354,-0.091305,0.0720479,0.032419,-0.866428,0.0644846,0.0481194,0.0537441,0.121977,0.111515,-0.091305,0.180442,0.0993957,-0.866428,-0.053779,-0.0390068,0.0537441,-0.0628822,0.010268,0.431482,-0.11911,0.0614772
0.0687605,-0.105526,-0.0523703,0.44862,0.752034,0.714048,-0.0708964,-0.398274,-0.124959,-0.787794,0.112581,0.0859309,0.44862,0.0602821,0.027076,-0.0708964,0.0679094,0.0359577,-0.787794,0.0640304,0.0540651,0.0687605,0.116949,0.11041,-0.0708964,0.197429,0.101912,-0.787794,-0.0473758,-0.0344966,0.0687605,-0.0554729,0.0140164,0.44862,-0.107381,0.0642744
0.0837769,-0.132734,-0.0747323,0.465757,0.81393,0.751612,-0.0504878,-0.329666,-0.0993244,-0.70916,0.105549,0.0822165,0.465757,0.0598413,0.0259166,-0.0504878,0.0632429,0.0394964,-0.70916,0.0632541,0.0600108,0.0837769,0.110914,0.109305,-0.0504878,0.212367,0.104428,-0.70916,-0.0408369,-0.0299864,0.0837769,-0.0470445,0.0177648,0.465757,-0.0956526,0.0670715
0.0987933,-0.159369,-0.0970942,0.482895,0.880041,0.789176,-0.0300792,-0.256052,-0.0736901,-0.630526,0.0981262,0.0785022,0.482895,0.0584281,0.0247572,-0.0300792,0.0579174,0.0430351,-0.630526,0.0625622,0.0659565,0.0987933,0.103859,0.1082,-0.0300792,0.222789,0.106945,-0.630526,-0.0343542,-0.0254762,0.0987933,-0.0374143,0.0215132,0.482895,-0.079571,0.0698687
0.11381,-0.185825,-0.119456,0.500032,0.949442,0.82674,-0.00967056,-0.178594,-0.0480559,-0.551892,0.0903764,0.0747878,0.500032,0.0562562,0.0235978,-0.00967056,0.0521405,0.0465738,-0.551892,0.0620058,0.0719022,0.11381,0.0965221,0.107095,-0.00967056,0.228506,0.109461,-0.551892,-0.0279504,-0.020966,0.11381,-0.0274292,0.0252615,0.500032,-0.0600929,0.0726658
0.128826,-0.21228,-0.141818,0.51717,1.01884,0.864304,0.010738,-0.0999151,-0.0224216,-0.473258,0.0820133,0.0710734,0.51717,0.0540842,0.0224384,0.010738,0.0462551,0.0501125,-0.473258,0.0620323,0.0778479,0.128826,0.0891851,0.10599,0.010738,0.231972,0.111978,-0.473258,-0.0218564,-0.0164558,0.128826,-0.0174442,0.0290099,0.51717,-0.0406149,0.075463
0.143843,-0.238203,-0.16418,0.534307,1.08824,0.901868,0.0311466,-0.0175991,0.00321264,-0.394624,0.0732774,0.0673591,0.534307,0.0519122,0.021279,0.0311466,0.0401451,0.0536512,-0.394624,0.0625414,0.0837936,0.143843,0.0814241,0.104886,0.0311466,0.227343,0.114494,-0.394624,-0.0160139,-0.0119456,0.143843,-0.00665144,0.0327583,0.534307,-0.0211368,0.0782602
0.158859,-0.263429,-0.186542,0.551445,1.15764,0.939431,0.0515552,0.0653811,0.0288469,-0.315991,0.0641277,0.0636447,0.551445,0.0497402,0.0201196,0.0515552,0.0340273,0.0571899,-0.315991,0.0637631,0.0897393,0.158859,0.0737609,0.103781,0.0515552,0.220769,0.11701,-0.315991,-0.0105375,-0.00743536,0.158859,0.00481477,0.0365067,0.551445,-0.00165878,0.0810573
0.173875,-0.288603,-0.208904,0.568583,1.22787,0.976995,0.0719638,0.148362,0.0544811,-0.237357,0.0544171,0.0599303,0.568583,0.0472985,0.0189602,0.0719638,0.0284648,0.0607286,-0.237357,0.0660984,0.095685,0.173875,0.066121,0.102676,0.0719638,0.20754,0.119527,-0.237357,-0.0056302,-0.00292516,0.173875,0.0163205,0.040255,0.568583,0.0190723,0.0838545
